winery,wine_name,year,rating,region,price_euros,vine_type,grape_variety,wine_ageing,service_temperature,quality_price_ratio,luxury_category,cluster_id
Dominio del Aguila,Reserva,2018,4.5,Ribera del Duero,59.8,Tinto,Tempranillo,1,16-18°C,0.075,1,6
Sierra Cantabria,Amancio,2014,4.5,Rioja,75.0,Tinto,Tempranillo,0,16-18°C,0.06,1,7
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015,4.5,Ribera del Duero,57.0,Tinto,Tempranillo,0,16-18°C,0.079,1,7
Artadi,Vina El Pison,2013,4.5,Vino de Espana,253.47,Tinto,Tempranillo,0,16-18°C,0.018,1,0
Emilio Rojo,Blanco,2017,4.5,Ribeiro,49.95,Blanco,Treixadura,0,8-10°C,0.09,0,1
Vina Sastre,Pesus Ribera del Duero,2015,4.5,Ribera del Duero,298.0,Tinto,Tempranillo,0,16-18°C,0.015,1,0
Abadia Retuerta,Pago Garduna,2009,4.5,Castilla y Leon,73.6,Tinto,Syrah,0,16-18°C,0.061,1,2
Bodegas Mas Alta,La Basseta,2013,4.5,Priorato,58.0,Tinto,Grenache / Carinena,0,16-18°C,0.078,1,7
Territorio Luthier,Territorio Luthier Reserva,2016,4.5,Ribera del Duero,54.0,Tinto,Tempranillo,1,16-18°C,0.083,1,6
Alion,Ribera del Duero,2018,4.5,Ribera del Duero,78.38,Tinto,Tempranillo,0,16-18°C,0.057,1,7
Vega Sicilia,Valbuena 5o,1988,4.5,Ribera del Duero,228.63,Tinto,Tempranillo,0,16-18°C,0.02,1,0
Anima Negra,Son Negre,2011,4.5,Mallorca,228.9,Tinto,Blend/Other,0,16-18°C,0.02,1,0
Costers del Siurana,Clos de L'Obac,2010,4.5,Priorato,81.3,Tinto,Grenache / Carinena,0,16-18°C,0.055,1,7
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018,4.5,Ribera del Duero,165.0,Tinto,Tempranillo,0,16-18°C,0.027,1,7
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,4.5,Ribera del Duero,54.9,Tinto,Tempranillo,1,16-18°C,0.082,1,6
Rafael Palacios,As Sortes Val do Bibei Godello,2020,4.5,Valdeorras,55.0,Desconocido,Blend/Other,0,10-14°C,0.082,1,3
Martinet,Cami Pesseroles,2010,4.5,Priorato,131.85,Tinto,Grenache / Carinena,0,16-18°C,0.034,1,7
Pago de Los Capellanes,Parcela El Picon Tinto,2015,4.5,Ribera del Duero,148.39,Tinto,Tempranillo,0,16-18°C,0.03,1,7
Adama Wines,Tinto,2011,4.5,Ribera del Duero,39.0,Tinto,Tempranillo,0,16-18°C,0.115,0,7
Jesus Madrazo,Seleccion Rioja,2015,4.5,Rioja,67.1,Tinto,Tempranillo,0,16-18°C,0.067,1,7
Tinto Pesquera,Millenium Reserva,1996,4.5,Ribera del Duero,199.45,Tinto,Tempranillo,1,16-18°C,0.023,1,0
Bodegas Naluar & Acediano,Acediano,2015,4.5,Ribera del Duero,52.0,Tinto,Tempranillo,0,16-18°C,0.087,1,7
Marques de Caceres,Gaudium,2016,4.5,Rioja,34.9,Tinto,Tempranillo,0,16-18°C,0.129,0,7
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017,4.5,Ribera del Duero,75.81,Tinto,Tempranillo,0,16-18°C,0.059,1,7
Sierra Cantabria,Finca el Bosque,2017,4.5,Rioja,84.36,Tinto,Tempranillo,0,16-18°C,0.053,1,7
Trus,Pico de Luyas,2016,4.5,Ribera del Duero,47.95,Tinto,Tempranillo,0,16-18°C,0.094,0,7
Artadi,Grandes Anadas Rioja,2001,4.5,Rioja,391.65,Tinto,Tempranillo,0,16-18°C,0.011,1,0
Juan Gil,Bruto,2019,4.5,Jumilla,32.5,Tinto,Monastrell,0,16-18°C,0.138,0,2
Muga,Aro,2004,4.5,Rioja,198.0,Tinto,Tempranillo,0,16-18°C,0.023,1,0
Mestres,Mas Via Gran Reserva Brut,2004,4.5,Cava,40.33,Espumoso,Blend/Other,1,6-8°C,0.112,0,5
Alvaro Palacios,Les Aubaguetes Priorat,2015,4.5,Priorato,302.5,Tinto,Grenache / Carinena,0,16-18°C,0.015,1,0
Quinta de la Quietud,La Mula de la Quietud,2016,4.5,Toro,62.0,Tinto,Tempranillo,0,16-18°C,0.073,1,7
Chivite,Navarra Coleccion 125 Blanco,2018,4.5,Navarra,49.1,Blanco,Chardonnay,0,8-10°C,0.092,0,1
Marques de Murrieta,Dalmau Rioja,2015,4.5,Rioja,75.0,Tinto,Tempranillo,0,16-18°C,0.06,1,7
Enate,Chardonnay Uno,2011,4.5,Somontano,200.13,Blanco,Chardonnay,0,8-10°C,0.022,1,1
Toro Albala,Don PX Vieja Cosecha,1973,4.5,Montilla-Moriles,113.0,Generoso,Pedro Ximenez,0,12-14°C,0.04,1,4
Bodega Ribas,Ribas de Cabrera,2018,4.5,Mallorca,68.4059721390231,Tinto,Blend/Other,0,16-18°C,0.066,1,2
Vinas del Cenit,Cenit,2012,4.5,Tierra del Vino de Zamora,37.5,Tinto,Tempranillo,0,16-18°C,0.12,0,2
Artadi,El Carretil,2012,4.5,Vino de Espana,165.0,Tinto,Tempranillo,0,16-18°C,0.027,1,0
Alvaro Palacios,Quinon de Valmira,2016,4.5,Rioja,415.0,Tinto,Tempranillo,0,16-18°C,0.011,1,0
Bodegas Naluar & Acediano,Acediano,2014,4.5,Ribera del Duero,74.0,Tinto,Tempranillo,0,16-18°C,0.061,1,7
Mas del Serral,Mas del Serral,2007,4.5,Penedes,192.16,Espumoso,Blend/Other,0,6-8°C,0.023,1,5
Cervoles,Estrats,2009,4.5,Costers del Segre,59.82,Tinto,Blend/Other,0,16-18°C,0.075,1,2
Anima Negra,Son Negre,2016,4.5,Mallorca,164.9,Tinto,Blend/Other,0,16-18°C,0.027,1,2
Diez Merito,Fino Imperial Amontillado 30 Anos,2015,4.5,Jerez Amontillado,94.9,Generoso,Blend/Other,0,12-14°C,0.047,1,4
Valdespino,Coliseo Amontillado VORS,2015,4.5,Jerez Amontillado,199.0,Generoso,Blend/Other,0,12-14°C,0.023,1,4
Sierra Cantabria,Finca el Bosque,2018,4.5,Rioja,85.95,Tinto,Tempranillo,0,16-18°C,0.052,1,7
Familia Torres,Grans Muralles,2000,4.5,Conca de Barbera,125.05,Tinto,Blend/Other,0,16-18°C,0.036,1,0
Emilio Moro,Malleolus de Valderramiro,2018,4.5,Ribera del Duero,85.55,Tinto,Tempranillo,0,16-18°C,0.053,1,7
Bodega Contador (Benjamin Romeo),Contador Rioja,2016,4.5,Rioja,317.75,Tinto,Tempranillo,0,16-18°C,0.014,1,0
Adama Wines,Tinto,2010,4.5,Ribera del Duero,35.0,Tinto,Tempranillo,0,16-18°C,0.129,0,7
R. Lopez de Heredia,Vina Tondonia Gran Reserva Blanco,1981,4.5,Rioja Alta,274.95,Blanco,Blend/Other,1,8-10°C,0.016,1,1
Martinet,Cami Pesseroles,2014,4.5,Priorato,82.55,Tinto,Grenache / Carinena,0,16-18°C,0.055,1,7
Clos Mogador,Priorat,2019,4.5,Priorato,63.9,Tinto,Grenache / Carinena,0,16-18°C,0.07,1,7
Marques de Burgos,8000,2017,4.5,Ribera del Duero,29.95,Tinto,Tempranillo,0,16-18°C,0.15,0,7
Vina Sastre,Pesus Ribera del Duero,2009,4.5,Ribera del Duero,312.6,Tinto,Tempranillo,0,16-18°C,0.014,1,0
Bodegas Mas Alta,La Basseta,2017,4.5,Priorato,58.95,Tinto,Grenache / Carinena,0,16-18°C,0.076,1,7
Artadi,La Poza de Ballesteros,2010,4.5,Vino de Espana,99.35,Tinto,Tempranillo,0,16-18°C,0.045,1,7
Penafiel,Mironia Black Edition Tempranillo,2015,4.5,Ribera del Duero,49.5,Tinto,Tempranillo,0,16-18°C,0.091,0,7
Bodegas Mas Alta,La Creu Alta,2015,4.5,Priorato,234.98,Tinto,Grenache / Carinena,0,16-18°C,0.019,1,0
Costers del Siurana,Miserere,2010,4.5,Priorato,78.5,Tinto,Grenache / Carinena,0,16-18°C,0.057,1,7
Muga,Prado Enea Gran Reserva,2015,4.5,Rioja,56.95,Tinto,Tempranillo,1,16-18°C,0.079,1,6
Tobia,Alma Tobia Rioja,2015,4.5,Rioja,40.0,Tinto,Tempranillo,0,16-18°C,0.112,0,7
Tresmano - Tr3smano,Tm,2016,4.5,Ribera del Duero,100.0,Tinto,Tempranillo,0,16-18°C,0.045,1,7
Mas Doix,Doix,2017,4.5,Priorato,79.9,Tinto,Grenache / Carinena,0,16-18°C,0.056,1,7
Sei Solo,Tinto,2012,4.5,Ribera del Duero,63.5,Tinto,Tempranillo,0,16-18°C,0.071,1,7
Miguel Merino,La Loma,2017,4.5,Rioja Alta,38.9,Tinto,Blend/Other,0,16-18°C,0.116,0,2
Finca Villacreces,Nebro Ribera del Duero,2011,4.5,Ribera del Duero,154.5,Tinto,Tempranillo,0,16-18°C,0.029,1,0
Clos Erasmus,Priorat,2012,4.5,Priorato,374.66,Tinto,Grenache / Carinena,0,16-18°C,0.012,1,0
Artadi,El Carretil,2015,4.5,Vino de Espana,143.51,Tinto,Tempranillo,0,16-18°C,0.031,1,7
Virgen de la Asuncion,El Canto del Angel,2014,4.5,Ribera del Duero,59.95,Tinto,Tempranillo,0,16-18°C,0.075,1,7
Artadi,Grandes Anadas Rioja,1998,4.5,Rioja,467.65,Tinto,Tempranillo,0,16-18°C,0.01,1,0
Remirez de Ganuza,Rioja Blanco Reserva,2012,4.5,Rioja,65.5,Blanco,Viura,1,8-10°C,0.069,1,1
Remirez de Ganuza,Gran Reserva,2011,4.5,Rioja,88.5,Tinto,Tempranillo,1,16-18°C,0.051,1,6
Romate,Cayetano del Pino Viejisimo Palo Cortado,2015,4.5,Jerez Palo Cortado,25.92,Generoso,Blend/Other,0,12-14°C,0.174,0,4
Allende,Calvario Rioja,2002,4.5,Rioja,95.0,Tinto,Tempranillo,0,16-18°C,0.047,1,7
Dominio del Aguila,Gran Reserva Penas Aladas,2012,4.5,Ribera del Duero,559.02,Tinto,Tempranillo,1,16-18°C,0.008,1,0
Martinet,Cami Pesseroles,2012,4.5,Priorato,115.85,Tinto,Grenache / Carinena,0,16-18°C,0.039,1,7
Vega Sicilia,Unico,1969,4.5,Ribera del Duero,976.83,Tinto,Tempranillo,0,16-18°C,0.005,1,0
Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2005,4.5,Priorato,266.81,Tinto,Grenache / Carinena,0,16-18°C,0.017,1,0
Dehesa del Carrizal,Coleccion Privada,2017,4.5,Dehesa del Carrizal,26.9,Tinto,Blend/Other,0,16-18°C,0.167,0,2
Tarsus,Finca El Canto,2015,4.5,Ribera del Duero,89.66,Tinto,Tempranillo,0,16-18°C,0.05,1,7
Hacienda Solano,Finca Cascorrales,2016,4.5,Ribera del Duero,64.3,Tinto,Tempranillo,0,16-18°C,0.07,1,7
La Rioja Alta,Rioja Gran Reserva 904,1987,4.5,Rioja,190.0,Tinto,Tempranillo,1,16-18°C,0.024,1,6
Marques de Grinon,AAA,2004,4.5,Dominio de Valdepusa,141.2,Tinto,Blend/Other,0,16-18°C,0.032,1,2
Adama Wines,Tinto,2007,4.5,Ribera del Duero,32.0,Tinto,Tempranillo,0,16-18°C,0.141,0,7
Beronia,Rioja Gran Reserva,1994,4.5,Rioja,61.0,Tinto,Tempranillo,1,16-18°C,0.074,1,6
Monte Real,Gran Reserva,1964,4.5,Rioja,140.0,Tinto,Tempranillo,1,16-18°C,0.032,1,6
Toro Albala,Marques de Poley Amontillado Seleccion 1951,1951,4.5,Montilla-Moriles,169.95,Generoso,Pedro Ximenez,0,12-14°C,0.026,1,4
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014,4.5,Ribera del Duero,49.9,Tinto,Tempranillo,1,16-18°C,0.09,0,6
Enate,Reserva Especial,2006,4.5,Somontano,65.9,Tinto,Blend/Other,1,16-18°C,0.068,1,6
Divina Proporcion,Platon Tinto,2019,4.5,Toro,25.9,Tinto,Tempranillo,0,16-18°C,0.174,0,7
Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013,4.5,Vino de Espana,58.19,Tinto,Monastrell,0,16-18°C,0.077,1,2
Dominio del Aguila,Canta la Perdiz,2013,4.5,Ribera del Duero,295.0,Tinto,Tempranillo,0,16-18°C,0.015,1,0
Marques de la Concordia,Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja),2016,4.5,Rioja,35.5,Tinto,Tempranillo,0,16-18°C,0.127,0,7
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2013,4.5,Cava,53.7,Espumoso,Blend/Other,1,6-8°C,0.084,1,5
Penafiel,Alba de Miros Rueda Verdejo,2019,4.5,Rueda,9.9,Blanco,Verdejo,0,8-10°C,0.455,0,1
Carmelo Rodero,Ribera del Duero TSM,2006,4.5,Ribera del Duero,40.8333333333333,Tinto,Tempranillo,0,16-18°C,0.11,0,7
Dominio de Cair,Pendon De La Aguilera,2010,4.5,Ribera del Duero,299.286840932831,Tinto,Tempranillo,0,16-18°C,0.015,1,0
Valquejigoso,V2 Tinto,2009,4.5,Madrid,43.6838985,Tinto,Blend/Other,0,16-18°C,0.103,0,2
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2003,4.5,Priorato,1372.14,Tinto,Grenache / Carinena,0,16-18°C,0.003,1,0
Martinet,Cami Pesseroles,2016,4.5,Priorato,79.55,Tinto,Grenache / Carinena,0,16-18°C,0.057,1,7
Cal Pla,Planots Priorat,2013,4.5,Priorato,57.0,Tinto,Grenache / Carinena,0,16-18°C,0.079,1,7
Veigamoura,Blanco,2013,4.5,Rias Baixas,14.96,Blanco,Blend/Other,0,8-10°C,0.301,0,1
Vizcarra,Celia,2011,4.5,Ribera del Duero,60.06,Tinto,Tempranillo,0,16-18°C,0.075,1,7
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2010,4.5,Ribera del Duero,237.0,Tinto,Tempranillo,0,16-18°C,0.019,1,0
Clos Erasmus,Priorat,1998,4.5,Priorato,993.28,Tinto,Grenache / Carinena,0,16-18°C,0.005,1,0
Legaris,Calmo,2014,4.5,Ribera del Duero,71.9,Tinto,Tempranillo,0,16-18°C,0.063,1,7
Federico Paternina,Gran Reserva,1928,4.5,Rioja,270.0,Tinto,Tempranillo,1,16-18°C,0.017,1,0
Marques de Murrieta,Dalmau Rioja,2000,4.5,Rioja,48.5,Tinto,Tempranillo,0,16-18°C,0.093,0,7
Anima Negra,Son Negre,2005,4.5,Mallorca,200.0,Tinto,Blend/Other,0,16-18°C,0.022,1,0
Vinicola Real,Confesor Rioja,2004,4.5,Rioja,107.5,Tinto,Tempranillo,0,16-18°C,0.042,1,7
Bodegas San Roman,Cartago Paraje de Pozo,2016,4.5,Toro,77.5,Tinto,Tempranillo,0,16-18°C,0.058,1,7
Losada,La Bienquerida,2019,4.5,Bierzo,32.9,Tinto,Mencia,0,16-18°C,0.137,0,7
Clos d'Agon,Seleccion Especial,2015,4.5,Cataluna,93.51,Tinto,Blend/Other,0,16-18°C,0.048,1,2
Sacristia AB,Saca Unica,2015,4.5,Jerez-Xeres-Sherry,96.38,Generoso,Blend/Other,0,12-14°C,0.047,1,4
Huerta de Albala,Taberner No. 1,2011,4.5,Cadiz,75.0,Tinto,Blend/Other,0,16-18°C,0.06,1,2
Uvaguilera Aguilera,Palomero,2010,4.5,Ribera del Duero,44.95,Tinto,Tempranillo,0,16-18°C,0.1,0,7
Ysios,Grano a Grano,2017,4.5,Rioja,75.0,Tinto,Tempranillo,0,16-18°C,0.06,1,7
Finca Villacreces,Nebro Ribera del Duero,2015,4.5,Ribera del Duero,143.38,Tinto,Tempranillo,0,16-18°C,0.031,1,7
Vega Sicilia,Valbuena 5o,1976,4.5,Ribera del Duero,195.0,Tinto,Tempranillo,0,16-18°C,0.023,1,0
Dehesa del Carrizal,Petit Verdot,2018,4.5,Dehesa del Carrizal,20.15,Tinto,Blend/Other,0,16-18°C,0.223,0,2
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2015,4.5,Bierzo,1373.66,Tinto,Blend/Other,0,16-18°C,0.003,1,0
Emilio Hidalgo,Santa Ana Pedro Ximenez 1861,2015,4.5,Jerez-Xeres-Sherry,320.0,Generoso,Pedro Ximenez,0,12-14°C,0.014,1,4
Altos del Terral,Cuvee Julia Ribera del Duero,2011,4.5,Ribera del Duero,157.0,Tinto,Tempranillo,0,16-18°C,0.029,1,0
Toro Albala,Don PX Seleccion,1949,4.5,Montilla-Moriles,295.0,Generoso,Pedro Ximenez,0,12-14°C,0.015,1,4
Morca,Garnacha,2019,4.5,Campo de Borja,29.95,Tinto,Grenache,0,16-18°C,0.15,0,2
R. Lopez de Heredia,Vina Tondonia Gran Reserva,2001,4.5,Rioja,187.91,Tinto,Tempranillo,1,16-18°C,0.024,1,6
Martinet,Cami Pesseroles,2013,4.5,Priorato,113.2,Tinto,Grenache / Carinena,0,16-18°C,0.04,1,7
Descendientes de J. Palacios,Las Lamas Bierzo (Corullon),2018,4.5,Bierzo,120.0,Tinto,Mencia,0,16-18°C,0.038,1,7
Castillo Perelada,Finca Garbet,2015,4.5,Emporda,89.9,Tinto,Syrah,0,16-18°C,0.05,1,2
Vinicola Real,200 Monges Rioja Reserva Seleccion Especial,2006,4.5,Rioja,59.25,Tinto,Tempranillo,1,16-18°C,0.076,1,6
El Regajal,Galia Clos Santuy,2016,4.5,Castilla y Leon,89.0,Tinto,Blend/Other,0,16-18°C,0.051,1,2
Valderiz,Tomas Esteban,2011,4.5,Ribera del Duero,71.3,Tinto,Tempranillo,0,16-18°C,0.063,1,7
Jose Pariente,Finca Las Comas Verdejo,2018,4.5,Rueda,34.5,Blanco,Verdejo,0,8-10°C,0.13,0,1
Vega Sicilia,Valbuena 5o,1975,4.5,Ribera del Duero,195.0,Tinto,Tempranillo,0,16-18°C,0.023,1,0
Abadia Retuerta,Petit Verdot,2004,4.5,Sardon de Duero,160.81,Tinto,Blend/Other,0,16-18°C,0.028,1,2
Amos Baneres,Diables,2018,4.5,Penedes,38.75,Desconocido,Blend/Other,0,10-14°C,0.116,0,3
Scala Dei,St Antoni de Scala Dei Priorat,2017,4.5,Priorato,75.04,Tinto,Grenache / Carinena,0,16-18°C,0.06,1,7
Gonzalez-Byass,Anada Palo Cortado 1987,1991,4.5,Jerez Palo Cortado,230.0,Generoso,Blend/Other,0,12-14°C,0.02,1,4
Artadi,Valdegines,2019,4.5,Vino de Espana,40.0,Tinto,Tempranillo,0,16-18°C,0.112,0,7
Clos Erasmus,Priorat,2018,4.5,Priorato,225.0,Tinto,Grenache / Carinena,0,16-18°C,0.02,1,0
Bodegas Valdelana,Seda de Oro Reserva,2016,4.5,Rioja,69.0,Tinto,Tempranillo,1,16-18°C,0.065,1,6
Abel Mendoza Monge,Grano a Grano Graciano - Garnacha,2016,4.5,Rioja,55.14,Tinto,Grenache,0,16-18°C,0.082,1,2
Tinto Pesquera,Reserva,1986,4.5,Ribera del Duero,90.0,Tinto,Tempranillo,1,16-18°C,0.05,1,6
Bodegas Amaren,Carraquintana de Amaren,2017,4.5,Rioja Alavesa,56.5,Tinto,Blend/Other,0,16-18°C,0.08,1,2
Anayon,Garnacha Parcela 81 Vinas Viejas,2017,4.5,Carinena,54.9,Tinto,Blend/Other,0,16-18°C,0.082,1,2
Castell d'Encus,Saktih,2016,4.5,Costers del Segre,132.95,Tinto,Blend/Other,0,16-18°C,0.034,1,2
Gramona,Cava Enoteca Finca de L'Origen Brut Nature,2002,4.5,Cava,142.0,Espumoso,Blend/Other,0,6-8°C,0.032,1,5
Sierra Salinas,Salinas 1237,2014,4.5,Alicante,53.25,Tinto,Monastrell,0,16-18°C,0.085,1,2
Dehesa del Carrizal,Cabernet Sauvignon,2019,4.5,Dehesa del Carrizal,16.9,Tinto,Cabernet Sauvignon,0,16-18°C,0.266,0,2
Vinos Sanz,Finca La Colina Sauvignon Blanc,2021,4.5,Rueda,13.45,Blanco,Sauvignon Blanc,0,8-10°C,0.335,0,1
Cerro San Cristobal,Dominio del Verso Red Blend,2018,4.5,Condado de Huelva,29.5,Tinto,Blend/Other,0,16-18°C,0.153,0,2
Altos de Rioja,Altos R Pigeage Nacido en Barrica Blanco,2019,4.4,Rioja,29.9168517,Blanco,Viura,1,8-10°C,0.147,0,1
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2007,4.5,Priorato,69.0,Tinto,Grenache / Carinena,0,16-18°C,0.065,1,7
La Vinya del Vuit,La Vinya del Vuit (8),2015,4.5,Priorato,73.0,Tinto,Grenache / Carinena,0,16-18°C,0.062,1,7
Venus la Universal,Venus de la Figuera,2017,4.5,Montsant,51.5,Tinto,Blend/Other,0,16-18°C,0.087,1,2
Pedralonga,Vendetta,2013,4.5,Rias Baixas,38.0,Blanco,Albarino,0,8-10°C,0.118,0,1
Alion,Ribera del Duero,2009,4.4,Ribera del Duero,189.0,Tinto,Tempranillo,0,16-18°C,0.023,1,7
Pintia,Toro,2011,4.4,Toro,39.5,Tinto,Tempranillo,0,16-18°C,0.111,0,7
Pintia,Toro,2012,4.4,Toro,89.9,Tinto,Tempranillo,0,16-18°C,0.049,1,7
Pintia,Toro,2013,4.4,Toro,76.8,Tinto,Tempranillo,0,16-18°C,0.057,1,7
La Rioja Alta,Rioja Gran Reserva 904,2009,4.4,Rioja,47.5,Tinto,Tempranillo,1,16-18°C,0.093,0,6
Matarromera,Ribera del Duero Reserva,2016,4.4,Ribera del Duero,31.5,Tinto,Tempranillo,1,16-18°C,0.14,0,6
La Rioja Alta,Rioja Gran Reserva 904,2011,4.4,Rioja,47.95,Tinto,Tempranillo,1,16-18°C,0.092,0,6
La Rioja Alta,Rioja Gran Reserva 904,2007,4.4,Rioja,47.95,Tinto,Tempranillo,1,16-18°C,0.092,0,6
Emilio Moro,Malleolus,2018,4.4,Ribera del Duero,38.61,Tinto,Tempranillo,0,16-18°C,0.114,0,7
Muga,Seleccion Especial (Reserva),2016,4.4,Rioja,27.9,Tinto,Tempranillo,1,16-18°C,0.158,0,6
Matarromera,Ribera del Duero Reserva,2017,4.4,Ribera del Duero,37.25,Tinto,Tempranillo,1,16-18°C,0.118,0,6
Hacienda Monasterio,Cosecha,2016,4.4,Ribera del Duero,37.8,Tinto,Tempranillo,0,16-18°C,0.116,0,7
La Rioja Alta,Rioja Gran Reserva 904,2010,4.4,Rioja,61.55,Tinto,Tempranillo,1,16-18°C,0.071,1,6
Muga,Prado Enea Gran Reserva,2011,4.4,Rioja,43.95,Tinto,Tempranillo,1,16-18°C,0.1,0,6
Bodegas Mauro,Red,2018,4.4,Castilla y Leon,31.95,Tinto,Blend/Other,0,16-18°C,0.138,0,2
Abadia Retuerta,Seleccion Especial,2017,4.4,Sardon de Duero,25.5,Tinto,Blend/Other,0,16-18°C,0.173,0,2
Bodegas El Nido,Clio,2014,4.4,Jumilla,35.65,Tinto,Blend/Other,0,16-18°C,0.123,0,2
Dominio de Pingus,Flor de Pingus,2012,4.4,Ribera del Duero,125.0,Tinto,Tempranillo,0,16-18°C,0.035,1,7
Dominio de Pingus,Flor de Pingus,2013,4.4,Ribera del Duero,125.0,Tinto,Tempranillo,0,16-18°C,0.035,1,7
La Rioja Alta,Vina Ardanza Reserva,2015,4.4,Rioja,23.0,Tinto,Tempranillo,1,16-18°C,0.191,0,6
Bodegas Roda,Roda I Reserva Rioja,2009,4.4,Rioja,43.5,Tinto,Tempranillo,1,16-18°C,0.101,0,6
Bodegas Roda,Roda I Reserva Rioja,2010,4.4,Rioja,24.7,Tinto,Tempranillo,1,16-18°C,0.178,0,6
Tomas Postigo,3er Ano Ribera del Duero Tinto,2017,4.4,Ribera del Duero,27.4,Tinto,Tempranillo,0,16-18°C,0.161,0,7
Alion,Ribera del Duero,2007,4.4,Ribera del Duero,96.0,Tinto,Tempranillo,0,16-18°C,0.046,1,7
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2016,4.4,Rioja,37.52,Tinto,Tempranillo,0,16-18°C,0.117,0,7
Bodegas Roda,Roda I Reserva Rioja,2011,4.4,Rioja,43.95,Tinto,Tempranillo,1,16-18°C,0.1,0,6
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2017,4.4,Almansa,19.6,Tinto,Grenache,0,16-18°C,0.224,0,2
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2004,4.4,Rioja,160.0,Tinto,Tempranillo,1,16-18°C,0.028,1,6
Bodegas Roda,Roda I Reserva Rioja,2012,4.4,Rioja,43.5,Tinto,Tempranillo,1,16-18°C,0.101,0,6
Tomas Postigo,3er Ano Ribera del Duero Tinto,2018,4.4,Ribera del Duero,27.75,Tinto,Tempranillo,0,16-18°C,0.159,0,7
Hacienda Monasterio,Cosecha,2018,4.4,Ribera del Duero,32.5,Tinto,Tempranillo,0,16-18°C,0.135,0,7
Bodegas Mauro,Red,2019,4.4,Castilla y Leon,29.45,Tinto,Blend/Other,0,16-18°C,0.149,0,2
Aalto,Tinto,2017,4.4,Ribera del Duero,51.526827174062,Tinto,Tempranillo,0,16-18°C,0.085,1,7
Benjamin de Rothschild - Vega Sicilia,Macan,2010,4.4,Rioja,216.0,Tinto,Tempranillo,0,16-18°C,0.02,1,7
Alion,Ribera del Duero,2006,4.4,Ribera del Duero,119.7,Tinto,Tempranillo,0,16-18°C,0.037,1,7
Muga,Torre Muga,2006,4.4,Rioja,66.73,Tinto,Tempranillo,0,16-18°C,0.066,1,7
Bodegas Roda,Roda I Reserva Rioja,2015,4.4,Rioja,39.95,Tinto,Tempranillo,1,16-18°C,0.11,0,6
Matsu,El Viejo,2018,4.4,Toro,32.01,Tinto,Tempranillo,0,16-18°C,0.137,0,7
Bodegas Valduero,Ribera del Duero Una Cepa I,2016,4.4,Ribera del Duero,28.9,Tinto,Tempranillo,0,16-18°C,0.152,0,7
Bodegas San Roman,Tinto,2017,4.4,Toro,36.0,Tinto,Tempranillo,0,16-18°C,0.122,0,7
Marques de Vargas,Hacienda Pradolagar,2015,4.4,Rioja,105.12,Tinto,Tempranillo,0,16-18°C,0.042,1,7
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2008,4.4,Cava,52.5,Espumoso,Blend/Other,1,6-8°C,0.084,1,5
Hacienda Monasterio,Cosecha,2017,4.4,Ribera del Duero,33.31,Tinto,Tempranillo,0,16-18°C,0.132,0,7
Remirez de Ganuza,Rioja Reserva,2010,4.4,Rioja,73.65,Tinto,Tempranillo,1,16-18°C,0.06,1,6
Alto Moncayo,Garnacha,2016,4.4,Campo de Borja,33.95,Tinto,Grenache,0,16-18°C,0.13,0,2
Remirez de Ganuza,Rioja Reserva,2009,4.4,Rioja,74.0,Tinto,Tempranillo,1,16-18°C,0.059,1,6
Alion,Ribera del Duero,2005,4.4,Ribera del Duero,169.0,Tinto,Tempranillo,0,16-18°C,0.026,1,7
Atalaya,Alaya Tierra (Old Vines Vieilles Vignes),2018,4.4,Almansa,24.8,Tinto,Grenache,0,16-18°C,0.177,0,2
Alion,Ribera del Duero,2004,4.4,Ribera del Duero,140.840866321332,Tinto,Tempranillo,0,16-18°C,0.031,1,7
Clos Mogador,Priorat,2014,4.4,Priorato,175.5,Tinto,Grenache / Carinena,0,16-18°C,0.025,1,7
Vinicola Real,200 Monges Rioja Reserva,2011,4.4,Rioja,37.57,Tinto,Tempranillo,1,16-18°C,0.117,0,6
Arzuaga,Reserva Ribera del Duero,2016,4.4,Ribera del Duero,26.24,Tinto,Tempranillo,1,16-18°C,0.168,0,6
Emilio Moro,Malleolus,2019,4.4,Ribera del Duero,28.5,Tinto,Tempranillo,0,16-18°C,0.154,0,7
Bodegas Mauro,VS,2014,4.4,Castilla y Leon,178.0,Tinto,Tempranillo,0,16-18°C,0.025,1,7
